site,row,stake,soil,ff.thickness,bulk.density,soil.mass,ph.h2o,ph.cacl2,c,n,om,p,nh4,no3,n.min,nitr,cec ,ca,mg,k,soil.moisture,soil.moisture.capacity
W2,F,6,FF,83.8,0.07,5.85,3.92,2.72,47.44,1.73,95.69,113.75,14.49,0.75,57.61,7.51,5.83,1.22,0.65,0.45,2.22,3.71
W2,F,7,FF,145,0.049,7.09,3.47,2.71,49.46,1.53,97.31,59.77,12.93,1.38,45.58,0.16,8.51,1.99,0.62,0.32,2,2.97
W2,F,8,FF,61.3,0.089,5.48,3.47,2.78,46.76,1.6,89.4,60.25,18.97,0.43,81.56,5.86,5.83,0.81,0.69,0.5,1.21,2.18
W2,F,9,FF,75,0.036,2.71,3.85,3.03,43.14,1.6,76.37,112.83,35.38,0.74,193.5,9.47,3.74,0.79,0.17,0.28,1.28,2.11
W2,F,10,FF,69.8,0.036,2.51,3.16,2.83,48.14,1.89,93.66,78.17,11.73,2.27,138.09,0.6,9.66,1.79,1,0.63,1.19,1.72
W2,B,2,MIN,NA,0.749,112.33,3.42,3.43,9.23,0.29,15.78,4.33,15.99,0.16,5.11,4.07,6.52,0.15,0.21,0.51,0.91,0.96
W2,B,3,MIN,NA,0.58,86.95,4.3,3.96,7.01,0.22,11.74,0,3.41,0.16,13.98,4.01,4.72,0.06,0.04,0.23,0.84,0.71
W2,B,4,MIN,NA,0.464,69.6,4.15,3.76,8.14,0.27,17.74,4.84,1.8,0.25,40.18,5.77,1.72,0.04,0.01,0.11,0.68,0.86
W2,B,5,MIN,NA,0.652,97.8,4.13,3.82,6.36,0.27,11.76,0,1.37,0.2,14.58,5.2,6.8,0.39,0.25,0.36,0.51,0.62
W2,B,6,MIN,NA,0.592,88.77,3.58,2.86,7.76,0.26,11.96,19.08,0.76,0.33,19.9,4.37,3.06,0.1,0.02,0.14,0.62,1.87
W2,B,7,MIN,NA,0.555,83.27,3.79,3.86,4.5,0.16,11.46,0,2.52,0.51,22.76,5.2,2.69,0,0.02,0.17,0.66,0.85
W2,B,8,MIN,NA,0.657,98.6,3.77,3.89,6.71,0.23,12.45,0.57,2.36,0.52,24.05,3.54,1.97,0,0.01,0.1,0.58,0.88
W2,B,9,MIN,NA,0.609,91.41,4.06,3.64,6.61,0.19,12.48,1.85,3.67,0.44,33.47,4.39,3.05,0,0.01,0.1,0.69,0.72
W2,B,10,MIN,NA,0.552,82.74,3.43,2.94,5.39,0.2,12.1,7.88,0.83,0.58,16.52,4.73,2.82,0,0.01,0.13,0.7,0.82
W2,C,3,MIN,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.34,0.02,0.09,0.39,0.72,0.29
W2,C,5,MIN,NA,NA,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,0.05,0.01,0.16,0.51,0.68
